Mario bestellingen

Let op! De vermelde prijzen zijn de prijzen ten tijde van de bestelling

Winkelnaam;Klantnaam;TelefoonNr;Email;Adres;Woonplaats;Besteldatum;AfleverType;AfleverDatum;AfleverMoment;Product;PizzaBodem;PizzaSaus;Prijs;Bezorgkosten;Aantal;Extra Ingrediënten;Prijs Extra Ingrediënten;Regelprijs;Totaalprijs;Gebruikte Coupon;Coupon Korting;Te Betalen
Groningen Boterdiep;Tevfik Koolwijk;06-93492701;TevfikKoolwijk@jourrapide.com;Adriaan Pauwstraat 19;Groningen;Monday, September 3, 2018;Afhalen;Monday, September 3, 2018;6:11 PM;Extravaganzza;Large Pizza;Tomatensaus;€ 7,95;;2;;€ 0,00;€ 23,90;€ 23,90;;€ 0,00;€ 23,90

Weert;Ada van Hout;06-79542677;AdavanHout@armyspy.com;Geelgorshof 18;Weert;vrijdag 4 oktober 2019;Afhalen;vrijdag 4 oktober 2019;20:51;Americana;Medium Pizza;Tomatensaus;€ 6,95;;1;Chorizo, Champignons;€ 2,00;€ 8,95;€ 54,75;;€ 0,00;€ 54,75
;;;;;;;;;;Creamy Bacon;Family XXL Pizza;Creme Fraiche;€ 7,95;;1;;€ 0,00;€ 12,95;;;;
;;;;;;;;;;Perfect Pepperoni;Family XXL Pizza;Tomatensaus;€ 4,95;;2;;€ 0,00;€ 19,90;;;;
;;;;;;;;;;Supreme;Family XXL Pizza;Barbecue Saus;€ 7,95;;1;;€ 0,00;€ 12,95;;;;

Sittard;Zuzanna Touw;06-68007762;ZuzannaTouw@rhyta.com;Pastoor Kripsstraat 174;Born;zondag 3 november 2019;Afhalen;zondag 3 november 2019;16:19;Supreme;Medium Cheesy Crust Pizza;Barbecue Saus;€ 7,95;;1;;€ 0,00;€ 9,95;€ 9,95;;€ 0,00;€ 9,95

Amersfoort Vathorst;Zinzi den Exter;06-79932374;ZinzidenExter@dayrep.com;Narcisstraat 53;Amersfoort;zaterdag 4 maart 2017;Afhalen;zaterdag 4 maart 2017;19:26;Perfect Pepperoni;Family XXL Pizza;Tomatensaus;€ 4,95;;1;;€ 0,00;€ 9,95;€ 9,95;2e pizza gratis bij afhalen;€ 0,00;€ 9,95

Dordrecht Bamendaweg;Hillebrand Aukes;06-55483634;HillebrandAukes@einrot.com;Beukenlaan 110;Dordrecht;donderdag 19 oktober 2017;Afhalen;donderdag 19 oktober 2017;17:19;Hawaii;Family XXL Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 23,90;€ 47,75;2e pizza gratis bij afhalen;€ 7,95;€ 39,80
;;;;;;;;;;Extravaganzza;Medium Pizza;Tomatensaus;€ 7,95;;1;;€ 0,00;€ 7,95;;;;
;;;;;;;;;;Chicken Supreme;Medium Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 6,95;;;;
